127.0.0.1 - - [27/Nov/2022:00:17:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:17:55 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:47:20 +0530] "GET /salman_hibernate/css/style.css HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:47:36 +0530] "GET /salman_hibernate/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:47:39 +0530] "GET /salman_hibernate/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:51:05 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:52:13 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:52:54 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:53:43 +0530] "GET /salman_hibernate/css/style.css HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:53:55 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:53:58 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:54:11 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:55:02 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:55:12 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:56:49 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:56:55 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:57:13 +0530] "GET /salman_hibernate/navbar.jsp? HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:57:19 +0530] "GET /salman_hibernate/navbar.jsp? HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:58:00 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:58:03 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [27/Nov/2022:00:58:04 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:08:16 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:08:23 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:08:26 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:08:38 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:09:51 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:10:05 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:10:18 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:10:33 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:10:46 +0530] "GET /salman_hibernate/navbar.jsp? HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:12:01 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:16:21 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:16:21 +0530] "GET /salman_hibernate/css/style.css HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:16:29 +0530] "GET /salman_hibernate/index.jsp HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:17:01 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:17:08 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:17:13 +0530] "GET /salman_hibernate/navbar.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [27/Nov/2022:01:18:24 +0530] "GET /salman_hibernate/css/style.css HTTP/1.1" 200 35
